,Representative,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,last_modified,return_after_trade
269,Kathy Manning,2024-02-06,2024-01-23,PG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.10064695304668454
270,Kathy Manning,2024-02-06,2024-01-23,JPM,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.1884560598304854
271,Kathy Manning,2024-02-06,2024-01-23,SYY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-0.9202903363537169
272,Kathy Manning,2024-02-06,2024-01-23,MSCI,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07,1.4828187083870275
273,Kathy Manning,2024-02-06,2024-01-23,MSFT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,2.1110256146264015
274,Kathy Manning,2024-02-06,2024-01-23,CFG,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07,-0.7292372952079711
275,Kathy Manning,2024-02-06,2024-01-23,TJX,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.7518057347118835
276,Kathy Manning,2024-02-06,2024-01-23,SBUX,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-0.3762941541148889
277,Kathy Manning,2024-02-06,2024-01-23,ABT,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-0.6052652994791667
278,Kathy Manning,2024-02-06,2024-01-23,CB,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-0.31493470548047875
279,Kathy Manning,2024-02-06,2024-01-23,GOOGL,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.9992971003642838
280,Kathy Manning,2024-02-06,2024-01-23,PG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.10064695304668454
281,Kathy Manning,2024-02-06,2024-01-23,LMT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.7377898598014138
282,Kathy Manning,2024-02-06,2024-01-23,NKE,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.1499856721146338
283,Kathy Manning,2024-02-06,2024-01-23,CME,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.3216332728590252
284,Kathy Manning,2024-02-06,2024-01-23,JNJ,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-0.05061485024066912
285,Kathy Manning,2024-02-06,2024-01-23,AON,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.3490404405860779
286,Kathy Manning,2024-02-06,2024-01-23,PKG,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.3985148723355147
287,Kathy Manning,2024-02-06,2024-01-23,ABBV,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.9925565741485689
288,Kathy Manning,2024-02-06,2024-01-23,TJX,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.7518057347118835
289,Kathy Manning,2024-02-06,2024-01-23,V,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.9502835633803189
290,Kathy Manning,2024-02-06,2024-01-23,MDT,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07,-0.6610374011641652
291,Kathy Manning,2024-02-06,2024-01-23,LRCX,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.667822840525378
292,Kathy Manning,2024-02-06,2024-01-23,QCOM,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.2421882097957397
293,Kathy Manning,2024-02-06,2024-01-23,MRK,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.46500944203737554
294,Kathy Manning,2024-02-06,2024-01-23,COST,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07,1.2647971338145974
295,Kathy Manning,2024-02-06,2024-01-23,GIS,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-1.7275994369099812
296,Kathy Manning,2024-02-06,2024-01-23,NKE,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.1499856721146338
297,Kathy Manning,2024-02-06,2024-01-23,LRCX,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07,1.667822840525378
298,Kathy Manning,2024-02-06,2024-01-23,PG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.10064695304668454
299,Kathy Manning,2024-02-06,2024-01-23,AAPL,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07,0.058109143464454394
300,Kathy Manning,2024-02-06,2024-01-23,GOOG,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.8733848990355304
301,Kathy Manning,2024-02-06,2024-01-23,CRM,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.0530769712869112
302,Kathy Manning,2024-02-06,2024-01-23,SYY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-0.9202903363537169
303,Kathy Manning,2024-02-06,2024-01-23,INTU,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.2387840812854178
304,Kathy Manning,2024-02-06,2024-01-23,TJX,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.7518057347118835
305,Kathy Manning,2024-02-06,2024-01-23,QCOM,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.2421882097957397
306,Kathy Manning,2024-02-06,2024-01-23,LRCX,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.667822840525378
307,Kathy Manning,2024-02-06,2024-01-23,MU,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.673758516672527
308,Kathy Manning,2024-02-06,2024-01-23,GOOGL,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.9992971003642838
309,Kathy Manning,2024-02-06,2024-01-23,ABT,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-0.6052652994791667
310,Kathy Manning,2024-02-06,2024-01-23,MDT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-0.6610374011641652
311,Kathy Manning,2024-02-06,2024-01-23,GOOG,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.8733848990355304
312,Kathy Manning,2024-02-06,2024-01-23,CRM,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.0530769712869112
313,Kathy Manning,2024-02-06,2024-01-23,INTU,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.2387840812854178
314,Kathy Manning,2024-02-06,2024-01-23,MA,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.3061897203277687
315,Kathy Manning,2024-02-06,2024-01-23,MU,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.673758516672527
316,Kathy Manning,2024-02-06,2024-01-23,MSCI,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.4828187083870275
317,Kathy Manning,2024-02-06,2024-01-23,SBUX,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-0.3762941541148889
318,Kathy Manning,2024-02-06,2024-01-23,AMGN,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-6.390993051836916
319,William R. Keating,2024-02-05,2024-01-24,PANW,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-06,-0.8679809151747252
320,Virginia Foxx,2024-02-05,2024-01-18,ET,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-06,-2.3759618631583357
321,Virginia Foxx,2024-02-05,2024-01-17,ET,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-06,-2.3759618631583357
322,Virginia Foxx,2024-02-05,2024-01-17,SCHX,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-06,0.32562544365878315
323,Virginia Foxx,2024-02-05,2024-01-17,CRT,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-02-06,-2.0270304375678942
324,Virginia Foxx,2024-02-05,2024-01-16,DUK$A,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-06,0.0
325,Virginia Foxx,2024-02-05,2024-01-16,ET,Purchase,"$15,001 - $50,000",Representatives,15001.0,R,2024-02-06,-2.3759618631583357
326,Virginia Foxx,2024-02-05,2024-01-16,HTGC,Purchase,"$15,001 - $50,000",Representatives,15001.0,R,2024-02-06,-0.8705723883658595
327,Virginia Foxx,2024-02-05,2024-01-16,MO,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-06,0.1974284685431048
328,Michael C. Burgess,2024-02-05,2024-01-12,VLO,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-02-06,-1.837477219403363
329,Virginia Foxx,2024-02-05,2024-01-11,MO,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-06,0.1974284685431048
330,Virginia Foxx,2024-02-05,2024-01-10,MO,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-02-06,0.1974284685431048
331,Virginia Foxx,2024-02-05,2024-01-08,SCHX,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-06,0.32562544365878315
332,Thomas R. Carper,2024-02-02,2024-01-17,ETRN,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02,0.0
333,Thomas R. Carper,2024-02-02,2024-01-17,MET,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,D,2024-02-02,0.0
334,Thomas R. Carper,2024-02-02,2024-01-17,GBIL,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02,0.0
335,Thomas R. Carper,2024-02-02,2024-01-17,VLO,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02,0.0
336,Thomas R. Carper,2024-02-02,2024-01-17,TTE,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,D,2024-02-02,0.0
337,Thomas R. Carper,2024-02-02,2024-01-17,GBIL,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02,0.0
338,Thomas R. Carper,2024-02-02,2024-01-17,CME,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02,0.0
339,Thomas R. Carper,2024-02-02,2024-01-17,ABT,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,D,2024-02-02,0.0
340,Thomas R. Carper,2024-02-02,2024-01-17,SBUX,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02,0.0
341,Thomas R. Carper,2024-02-02,2024-01-17,AES,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02,0.0
