Representative,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,last_modified
Tommy Tuberville,2024-01-12,2023-12-11,GOLD,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-12
Jonathan Jackson,2024-01-12,2023-12-20,W,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-15
Jonathan Jackson,2024-01-12,2023-12-20,HEI,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2024-01-15
Jonathan Jackson,2024-01-12,2023-12-15,W,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-01-15
Jonathan Jackson,2024-01-12,2023-12-14,ACI,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-01-15
Kathy Manning,2024-01-12,2023-12-12,EL,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2024-01-15
Kathy Manning,2024-01-12,2023-12-12,CFG,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2024-01-15
Kathy Manning,2024-01-12,2023-12-12,MDT,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2024-01-15
Kathy Manning,2024-01-12,2023-12-12,PFE,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-15
Kathy Manning,2024-01-12,2023-12-12,PYPL,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2024-01-15
Kathy Manning,2024-01-12,2023-12-12,MDT,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-15
