,Representative,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,last_modified,return_after_trade
326,Virginia Foxx,2024-02-05,2024-01-16,HTGC,Purchase,"$15,001 - $50,000",Representatives,15001.0,R,2024-02-06,-0.8705723883658595
329,Virginia Foxx,2024-02-05,2024-01-11,MO,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-06,0.1974284685431048
331,Virginia Foxx,2024-02-05,2024-01-08,SCHX,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-06,0.32562544365878315
325,Virginia Foxx,2024-02-05,2024-01-16,ET,Purchase,"$15,001 - $50,000",Representatives,15001.0,R,2024-02-06,-2.3759618631583357
271,Kathy Manning,2024-02-06,2024-01-23,SYY,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-0.9202903363537169
269,Kathy Manning,2024-02-06,2024-01-23,PG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.10064695304668454
268,Kathy Manning,2024-02-06,2024-01-23,NKE,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.1499856721146338
266,Kathy Manning,2024-02-06,2024-01-23,CFG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-0.7292372952079711
265,Kathy Manning,2024-02-06,2024-01-23,AON,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.3490404405860779
264,Kathy Manning,2024-02-06,2024-01-23,CRM,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07,1.0530769712869112
262,Kathy Manning,2024-02-06,2024-01-23,COST,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.2647971338145974
260,Kathy Manning,2024-02-06,2024-01-23,MA,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.3061897203277687
259,Kathy Manning,2024-02-06,2024-01-23,MSCI,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.4828187083870275
255,Kathy Manning,2024-02-06,2024-01-23,WMT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-0.25322437510041634
252,Kathy Manning,2024-02-06,2024-01-23,WMT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-0.25322437510041634
251,Kathy Manning,2024-02-06,2024-01-23,LMT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.7377898598014138
250,Kathy Manning,2024-02-06,2024-01-23,COST,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.2647971338145974
249,Kathy Manning,2024-02-06,2024-01-23,MRK,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07,0.46500944203737554
248,Kathy Manning,2024-02-06,2024-01-23,MDT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-0.6610374011641652
245,Kathy Manning,2024-02-06,2024-01-23,MSFT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,2.1110256146264015
242,Kathy Manning,2024-02-06,2024-01-23,MRK,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.46500944203737554
241,Kathy Manning,2024-02-06,2024-01-23,AON,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.3490404405860779
238,Kathy Manning,2024-02-06,2024-01-23,MSFT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,2.1110256146264015
235,James Calhoun,2024-02-06,2024-02-01,IBM,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-07,0.17992575348432996
234,James Calhoun,2024-02-06,2024-02-02,AFRM,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-07,2.717016571227503
272,Kathy Manning,2024-02-06,2024-01-23,MSCI,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07,1.4828187083870275
273,Kathy Manning,2024-02-06,2024-01-23,MSFT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,2.1110256146264015
254,Kathy Manning,2024-02-06,2024-01-23,MA,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07,0.3061897203277687
275,Kathy Manning,2024-02-06,2024-01-23,TJX,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.7518057347118835
318,Kathy Manning,2024-02-06,2024-01-23,AMGN,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-6.390993051836916
316,Kathy Manning,2024-02-06,2024-01-23,MSCI,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.4828187083870275
314,Kathy Manning,2024-02-06,2024-01-23,MA,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.3061897203277687
